N=100, GFLOPS=2.41732, time=0.827361
N=160, GFLOPS=10.7654, time=0.760958
N=250, GFLOPS=19.4368, time=1.60778
N=400, GFLOPS=26.0785, time=4.90827
N=650, GFLOPS=27.8521, time=19.7203
N=1000, GFLOPS=28.5484, time=70.0564
N=1600, GFLOPS=17.5076, time=467.911
N=2500, GFLOPS=19.1747, time=1629.75
N=4000, GFLOPS=15.2096, time=8415.73
N=6300, GFLOPS=13.3192, time=37546.9
N=9500, GFLOPS=12.1373, time=141280
