N=100, GFLOPS=0.342394, time=5.84122
N=160, GFLOPS=0.351588, time=23.3
N=250, GFLOPS=0.357016, time=87.531
N=400, GFLOPS=0.366016, time=349.711
N=650, GFLOPS=0.368111, time=1492.08
N=1000, GFLOPS=0.366672, time=5454.47
N=1600, GFLOPS=0.361135, time=22684
N=2500, GFLOPS=0.359425, time=86944.3
N=4000, GFLOPS=0.357372, time=358170
