N=100, GFLOPS=1.41248, time=1.41595
N=160, GFLOPS=8.24357, time=0.993744
N=250, GFLOPS=27.836, time=1.12265
N=400, GFLOPS=93.2112, time=1.37323
N=650, GFLOPS=197.021, time=2.78777
N=1000, GFLOPS=302.006, time=6.62239
N=1600, GFLOPS=394.453, time=20.768
N=2500, GFLOPS=483.414, time=64.6444
N=4000, GFLOPS=500.505, time=255.742
N=6300, GFLOPS=576.179, time=867.949
N=9500, GFLOPS=613.595, time=2794.6
N=11400, GFLOPS=616.425, time=4806.89
