N=100, GFLOPS=1.71359, time=1.16714
N=160, GFLOPS=7.69638, time=1.0644
N=250, GFLOPS=22.7099, time=1.37605
N=400, GFLOPS=44.0299, time=2.90711
N=650, GFLOPS=67.0628, time=8.19008
N=1000, GFLOPS=80.7322, time=24.7733
N=1600, GFLOPS=88.5382, time=92.5251
N=2500, GFLOPS=92.4198, time=338.131
N=4000, GFLOPS=94.008, time=1361.59
N=6300, GFLOPS=93.9167, time=5324.87
N=9500, GFLOPS=91.4139, time=18758.1
N=11400, GFLOPS=90.7773, time=32641.3
