N=100, GFLOPS=2.067, time=0.967584
N=160, GFLOPS=7.20631, time=1.13678
N=250, GFLOPS=14.5719, time=2.14454
N=400, GFLOPS=20.5208, time=6.23758
N=650, GFLOPS=28.0282, time=19.5963
N=1000, GFLOPS=30.523, time=65.5245
N=1600, GFLOPS=31.4649, time=260.353
N=2500, GFLOPS=31.4804, time=992.68
N=4000, GFLOPS=31.5981, time=4050.88
N=6300, GFLOPS=31.3323, time=15961
N=9500, GFLOPS=31.148, time=55051.6
