N=100, GFLOPS=1.78882, time=1.11806
N=160, GFLOPS=8.11255, time=1.00979
N=250, GFLOPS=27.0308, time=1.15609
N=400, GFLOPS=63.1325, time=2.02748
N=650, GFLOPS=99.4447, time=5.52317
N=1000, GFLOPS=139.545, time=14.3323
N=1600, GFLOPS=155.341, time=52.7356
N=2500, GFLOPS=169.65, time=184.202
N=4000, GFLOPS=162.167, time=789.308
N=6300, GFLOPS=159.433, time=3136.71
N=9500, GFLOPS=156.824, time=10934.2
N=11400, GFLOPS=147.97, time=20025
