N=100, GFLOPS=1.84542, time=1.08376
N=160, GFLOPS=8.02764, time=1.02047
N=250, GFLOPS=28.0458, time=1.11425
N=400, GFLOPS=87.9774, time=1.45492
N=650, GFLOPS=154.675, time=3.551
N=1000, GFLOPS=227.842, time=8.77803
N=1600, GFLOPS=340.103, time=24.0868
N=2500, GFLOPS=406.823, time=76.8147
N=4000, GFLOPS=417.404, time=306.657
N=6300, GFLOPS=452.133, time=1106.08
N=9500, GFLOPS=396.451, time=4325.25
N=11400, GFLOPS=418.67, time=7077.38
